id,user_id,name,date,amount,recurring
15432,EFEULcwXwcWTwZmddfjPTvBYubtpaeXD,Zztocn,2023-02-26,5.45,1
15433,EFEULcwXwcWTwZmddfjPTvBYubtpaeXD,Zztocn,2023-03-26,5.45,1
15437,EFEULcwXwcWTwZmddfjPTvBYubtpaeXD,Zztocn,2024-03-26,2.17,1
15438,EFEULcwXwcWTwZmddfjPTvBYubtpaeXD,Zztocn,2024-04-04,2.17,1
15439,EFEULcwXwcWTwZmddfjPTvBYubtpaeXD,Zztocn,2024-04-13,2.17,1
15440,EFEULcwXwcWTwZmddfjPTvBYubtpaeXD,Zztocn,2024-04-20,2.17,1
16776,EwWsuczcfXfxvCjaxWAXCYJYMAixZWyq,GEICO,2023-05-01,131.52,1
16783,EwWsuczcfXfxvCjaxWAXCYJYMAixZWyq,GEICO,2023-11-29,126.57,1
17231,FFzOxCKpvmSMcwyraoyimhKzWHoEOCrM,Affirm,2024-01-03,36.25,1
17234,FFzOxCKpvmSMcwyraoyimhKzWHoEOCrM,Affirm,2024-05-20,99.49,1
17470,FFzOxCKpvmSMcwyraoyimhKzWHoEOCrM,Asurionllc,2023-08-07,26.93,1
19255,GHCvCSrnKIMxLyFDwejXAmkpJfjxqdyI,Dave,2024-06-29,186.25,0
19259,GHCvCSrnKIMxLyFDwejXAmkpJfjxqdyI,Dave,2024-07-20,186.25,0
19548,GHCvCSrnKIMxLyFDwejXAmkpJfjxqdyI,T-Mobile,2024-07-26,65.14,1
19551,GHCvCSrnKIMxLyFDwejXAmkpJfjxqdyI,T-Mobile,2024-10-18,68.35,1
23385,GtYzbFvIhMoogGJRTebOAOhJCvRrlzYt,Apple,2022-05-30,9.99,0
23390,GtYzbFvIhMoogGJRTebOAOhJCvRrlzYt,Apple,2023-11-09,0.99,1
23597,GtYzbFvIhMoogGJRTebOAOhJCvRrlzYt,Dave,2024-02-17,1.0,1
23603,GtYzbFvIhMoogGJRTebOAOhJCvRrlzYt,Dave,2024-04-25,1.0,1
23606,GtYzbFvIhMoogGJRTebOAOhJCvRrlzYt,Dave,2024-05-23,1.0,1
24559,HXjqanWxcaEToyRXvDerSZKQaqCElpXz,FloatMe,2023-04-17,1.99,1
